MCH.Merchant Name,FIN.Transaction Amount,FIN.Transaction Date
ARBOR SPRINGS WATER CO,11.5,7/1/2010
PITNEYBOWES-POSTAGE,-73.76,7/1/2010
PITNEYBOWES-POSTAGE,30,7/1/2010
APL*ITUNES,15.89,7/1/2010
WOMEN,85,7/1/2010
KROGER #605 Q66,27.69,7/1/2010
CARPENTER BROS HAR,11.98,7/1/2010
S&S WORLDWIDE,332.89,7/2/2010
RADIOSHACK COR00169680,6.99,7/2/2010
AUTOXTRAS QPS,206.7,7/2/2010
GREEN OAK TIRE,7,7/2/2010
THE HOME DEPOT 2721,119.97,7/2/2010
THE HOME DEPOT 2721,59.4,7/2/2010
FERGUSON ENT#933,31.98,7/2/2010
STADIUM HARDWARE QPS,7.14,7/2/2010
CVS PHARMACY #8006 Q03,8.03,7/2/2010
CVS PHARMACY #8006 Q03,2.9,7/2/2010
PITNEY BOWES*,32.99,7/2/2010
AJA,400,7/2/2010
INTERNATIONAL ASSOC OF,-645,7/3/2010
AKA*ADOLF KIEFER ASSOC,221.84,7/3/2010
KROGER #688 Q66,47.98,7/3/2010
MICHIGAN RURAL WATER A,525,12/31/2009
PAYPAL *SMEMSIC,50,12/31/2009
ANN ARBOR DOOR CLOSER,144,12/31/2009
COURT SERVICES,20,12/30/2009
PITNEY BOWES*,32.99,12/30/2009
FORMS AND FILING,83.54,12/30/2009
KROGER #688,7.45,12/30/2009
OREILLY AUTO 00033290,15.94,12/30/2009
STATE BAR OF MICHIGAN,75,12/30/2009
JADE SCIENTIFIC,78.58,12/29/2009
NAPA AUTO PARTS,28.16,12/29/2009
BEST BUY MHT 00004085,226.48,12/29/2009
WARDS NATURAL SCIENCE,1072.5,12/29/2009
SYSTEMS SPECIALTIES CO,1312.5,12/29/2009
CRYSTAL MTN LODGING,349.92,12/29/2009
WASHTENAW CTY RGSTR DE,92,12/28/2009
ICMA,1164,12/28/2009
JOHN M. ELLSWORTH CO I,42.05,12/28/2009
PEN*FDIC/FIRE ENGINEER,755,12/28/2009
TRACTOR-SUPPLY-CO #053,79.99,12/28/2009
LOWES #00734*,41.88,12/28/2009
MISSION POINT RESORT,-124.2,12/28/2009
STAPLES 00115642,91.99,12/27/2009
NAPA AUTO PARTS,21.68,12/26/2009
LITTLE CAESARS #011Q67,26.05,12/26/2009
SHUTTERSTOCK.COM,224,12/25/2009
VG KIDS,80,12/24/2009
VG KIDS,80,12/24/2009
DRI*SONIC SOLUTIONS,19.99,12/24/2009
TRACTOR-SUPPLY-CO #053,55.35,12/24/2009
CORRIGAN OIL CO NO 2,646.04,12/24/2009
THE HOME DEPOT 2721,99.18,12/23/2009
WW GRAINGER,19.29,12/23/2009
CLASS ON DEMAND,107.6,12/23/2009
CHROMALOX INC,296.87,12/23/2009
ARBOR BREWING COMPANY,42.22,12/23/2009
LOWES #00734*,223.06,12/23/2009
LOWES #01750*,14.53,12/23/2009
MADISON ELEC A ARBR,25.17,12/23/2009
LOWES #00734*,36.34,12/23/2009
FOX TENT & AWNING,760,12/22/2009
MAYNARD BATTERY,24.76,12/22/2009
USEDRADIOCO,312,12/22/2009
SF STRONG INC,169.45,12/22/2009
LOWES #00734*,4.8,12/22/2009
ENGINEERED PLASTIC SYS,411.56,12/22/2009
ENGINEERED PLASTIC SYS,453,12/22/2009
FLEXIDISPLAY MARKETING,-19.8,12/22/2009
TRACTOR-SUPPLY-CO #053,229.98,12/21/2009
LARRY'S MOWER SHOP INC,13.9,12/21/2009
TURFGRASS INC,1026.37,12/21/2009
PETERSEN PRODUCTS COMP,1415,12/21/2009
LOWES #00734*,87.76,12/21/2009
DRI*MAPILAB,24,12/21/2009
DRI*MAPILAB EXT DOWN,6.99,12/21/2009
GROSS ELECTRIC INC,125,12/21/2009
LOWES #00734*,249.44,12/21/2009
WINZIP COMPUTING SL,47.9,12/21/2009
KROGER #688,16,12/20/2009
LEAD CONSULTANTS,300,12/19/2009
